country,population,fraction_of_pop,per_1000_pop
 China,1387160730,0.310465696060877,311
 India,1323009090,0.296107674574754,297
 Indonesia,255462000,0.057175917636526,58
 Pakistan,202785000,0.045386078782453,46
 Bangladesh,168200000,0.037645478961504,38
 Japan,126891000,0.028399955237243,29
 Philippines,100699395,0.022537912936437,23
 Vietnam,96208984,0.021532897045658,22
 Iran,82000000,0.018352730528201,19
 Turkey,78214000,0.017505371530886,18
 Thailand,65926261,0.014755206132498,15
 Myanmar,51486253,0.011523333258729,12
 South Korea,50617000,0.011328782452999,12
 Iraq,36575000,0.008185989256938,9
 Russia,36007750,0.008059030886303,9
 Afghanistan,31523418,0.007055375559534,8
 Uzbekistan,31283000,0.007001566696509,8
 Malaysia,31032000,0.006945389435989,7
   Nepal,28038000,0.006275290957923,7
 Saudi Arabia,26849000,0.006009176365264,7
 Yemen,26745000,0.005985899731423,6
 North Korea,25180000,0.005635631154879,6
 Taiwan,23455000,0.005249552372426,6
 Sri Lanka,22480000,0.00503133393017,6
 Kazakhstan,18906000,0.004231423455685,5
 Syria,17541000,0.003925917636526,4
 Cambodia,15040000,0.003366159355416,4
 Azerbaijan,9651000,0.002160026857654,3
 UAE,8933000,0.001999328558639,2
 Tajikistan,8454000,0.0018921217547,2
 Israel,8372000,0.001873769024172,2
 Hong Kong,7299000,0.001633616830797,2
 Jordan,6837000,0.001530214861235,2
 Kyrgyzstan,6543000,0.001464413607878,2
 Laos,6202000,0.001388093106535,2
 Singapore,5541000,0.001240152193375,2
 Turkmenistan,5302000,0.001186660698299,2
 Palestine,4683000,0.00104811996419,2
 Lebanon,4288000,0.000959713518353,1
 Oman,4181000,0.000935765443151,1
 Kuwait,4161000,0.000931289167413,1
 Georgia,3730000,0.000834825425246,1
 Mongolia,3029000,0.000677931960609,1
 Armenia,3005000,0.000672560429722,1
 Qatar,2113000,0.000472918531782,1
 Timor-Leste,1645000,0.000368173679499,1
 Bahrain,1381000,0.000309086839749,1
 Cyprus,1223916,0.000273929274843,1
 Bhutan,760000,0.000170098478066,1
 Macau,641000,0.000143464637422,1
 Maldives,454914,0.000101816025067,1
 Brunei,421000,9.42256042972247E-05,1
,4468165711,,
