date_release,title,day_release,month_release,year_release,runtime,imdb score,genre1,genre2,language1,language2
October 4 2020,David Attenborough: A Life on Our Planet,Sunday,October,2020,83,9,Documentary,,English,
December 8 2020,Emicida: AmarElo - It's All For Yesterday,Tuesday,December,2020,89,8.6,Documentary,,Portuguese,
December 16 2018,Springsteen on Broadway,Sunday,December,2018,153,8.5,Musical,,English,
October 9 2015,Winter on Fire: Ukraine's Fight for Freedom,Friday,October,2015,91,8.4,Documentary,,English,Russian
December 31 2018,Taylor Swift: Reputation Stadium Tour,Monday,December,2018,125,8.4,Documentary,,English,
May 20 2020,Ben Platt: Live from Radio City Music Hall,Wednesday,May,2020,85,8.4,Documentary,,English,
November 24 2017,Cuba and the Cameraman,Friday,November,2017,114,8.3,Documentary,,English,
October 23 2019,Dancing with the Birds,Wednesday,October,2019,51,8.3,Documentary,,English,
October 7 2016,13th,Friday,October,2016,100,8.2,Documentary,,English,
November 15 2019,Klaus,Friday,November,2019,97,8.2,Animation,,English,
June 19 2020,Disclosure: Trans Lives on Screen,Friday,June,2020,107,8.2,Documentary,,English,
October 14 2020,The Three Deaths of Marisela Escobedo,Wednesday,October,2020,109,8.2,Documentary,,Spanish,
March 24 2021,Seaspiracy,Wednesday,March,2021,89,8.2,Documentary,,English,
July 14 2017,Chasing Coral,Friday,July,2017,89,8.1,Documentary,,English,
August 26 2020,Rising Phoenix,Wednesday,August,2020,106,8.1,Documentary,,English,
September 7 2020,My Octopus Teacher,Monday,September,2020,85,8.1,Documentary,,English,
December 21 2018,Struggle: The Life and Lost Art of Szukaiski,Friday,December,2018,105,8,Documentary,,English,
November 4 2016,The Ivory Game,Friday,November,2016,112,7.9,Documentary,,English,
August 4 2017,Icarus,Friday,August,2017,120,7.9,Documentary,,English,
December 6 2019,Marriage Story,Friday,December,2019,136,7.9,Drama,,English,
April 29 2020,A Secret Love,Wednesday,April,2020,82,7.9,Documentary,,English,
November 27 2019,The Irishman,Wednesday,November,2019,209,7.8,Drama,,English,
October 16 2020,The Trial of the Chicago 7,Friday,October,2020,130,7.8,Drama,,English,
October 16 2015,Beasts of No Nation,Friday,October,2015,136,7.7,Drama,War,English,
October 12 2016,Justin Timberlake + The Tennessee Kids,Wednesday,October,2016,90,7.7,Documentary,,English,
November 17 2017,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Friday,November,2017,94,7.7,Documentary,,English,
December 14 2018,Roma,Friday,December,2018,135,7.7,Drama,,Spanish,
April 19 2019,Brene Brown: The Call to Courage,Friday,April,2019,76,7.7,Documentary,,English,
February 11 2020,Road to Roma,Tuesday,February,2020,72,7.7,Documentary,,Spanish,
March 25 2020,Crip Camp: A Disability Revolution,Wednesday,March,2020,108,7.7,Documentary,,English,
June 26 2015,"What Happened, Miss Simone?",Friday,June,2015,84,7.6,Documentary,,English,
July 27 2018,The Bleeding Edge,Friday,July,2018,100,7.6,Documentary,,English,
September 21 2018,Quincy,Friday,September,2018,124,7.6,Documentary,,English,
June 12 2019,Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Wednesday,June,2019,144,7.6,Documentary,,English,
October 18 2019,Tell Me Who I Am,Friday,October,2019,85,7.6,Documentary,,English,
December 20 2019,The Two Popes,Friday,December,2019,125,7.6,Drama,,English,
February 21 2020,Yeh Ballet,Friday,February,2020,117,7.6,Drama,,Hindi,
June 24 2020,Athlete A,Wednesday,June,2020,104,7.6,Documentary,,English,
September 9 2020,The Social Dilemma,Wednesday,September,2020,94,7.6,Documentary,,English,
November 12 2020,Ludo,Thursday,November,2020,149,7.6,Comedy,,Hindi,
September 16. 2016,The White Helmets,Friday,September,2016,40,7.5,Documentary,,English,
October 27. 2017,Joan Didion: The Center Will Not Hold,Friday,October,2017,98,7.5,Documentary,,English,
November 22 2017,"Barbra: The Music, The Mem'ries, The Magic!",Wednesday,November,2017,108,7.5,Documentary,,English,
September 7 2018,City of Joy,Friday,September,2018,74,7.5,Documentary,,English,
September 13 2018,Reversing Roe,Thursday,September,2018,99,7.5,Documentary,,English,
April 17 2019,Homecoming: A Film by Beyonce,Wednesday,April,2019,137,7.5,Documentary,,English,
August 16 2019,Invader Zim: Enter the Florpus,Friday,August,2019,71,7.5,Animation,SciFi,English,
December 24 2019,John Mulaney & the Sack Lunch Bunch,Tuesday,December,2019,70,7.5,Comedy,Drama,English,
October 2 2020,Dick Johnson Is Dead,Friday,October,2020,90,7.5,Documentary,,English,
October 14 2020,Blackpink: Light Up the Sky,Wednesday,October,2020,79,7.5,Documentary,,Korean,
July 17 2015,Tig,Friday,July,2015,80,7.4,Documentary,,English,
September 29 2017,Long Shot,Friday,September,2017,40,7.4,Documentary,,English,
October 26 2018,Shirkers,Friday,October,2018,97,7.4,Documentary,,English,
November 2 2018,They'll Love Me When I'm Dead,Friday,November,2018,98,7.4,Documentary,,English,
February 12 2019,Period. End of Sentence.,Tuesday,February,2019,26,7.4,Documentary,,English,Hindi
June 7 2019,The Black Godfather,Friday,June,2019,118,7.4,Documentary,,English,
August 21 2019,American Factory,Wednesday,August,2019,110,7.4,Documentary,,English,
November 1 2019,Fire in Paradise,Friday,November,2019,39,7.4,Documentary,,English,
November 27 2019,The Irishman: In Conversation,Wednesday,November,2019,23,7.4,Documentary,,English,
